ID	DOCULECT	CONCEPT	SPANISH	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS	NOTES
2786	Shanenawa	come	venir	u	u	u		176		
2787	Yawanawa	come	venir	uwi	uwi	u w i		176		
2788	Nukini	come	venir	ua	ua	u a		176		
2789	Poyanawa	come	venir	u	u	u		176		
2790	Iskonawa	come	venir	u	u	u		176		
2791	Chakobo	come	venir	hu	hu	h u		176		
2792	Chakobo	come	venir	βɨka	βɨka	β ɨ k a		183		
2793	Pakawara	come	venir	u	u	u		176		
2794	Kakataibo	come	venir	u	u	u		176		
2795	Kaxarari	come	venir	hu	hu	h u		176		
2796	Mastanawa	come	venir	ɨuwɨ	ɨuwɨ	ɨ u w ɨ		176		
2797	Chaninawa	come	venir	uwɨ	uwɨ	u w ɨ		176		
2798	Sharanawa	come	venir	u	u	u		176		
2799	Amawaka	come	venir	huʔi	huʔi	h u ʔ i		176		
2800	Nawa	come	venir	u	u	u		176		
2801	Marinawa	come	venir	u	u	u		176		
2802	Yaminawa	come	venir	u	u	u		176		
2803	Kashinawa_P	come	venir	hu	hu	h u		176		
2804	Kashinawa_B	come	venir	hu	hu	h u		176		
2805	Araona	come	venir	pobea	pobea	p o b e a		180		
2806	Tacana	come	venir	pue	pue	p u e		180		
2807	Cavinena	come	venir	jeya	jeya	j e j a		179		
2808	Cavinena	come	venir	junaya	junaya	j u n a j a		177		
2809	Cavinena	come	venir	jetiya	jetiya	j e t i j a		179		
2810	Ese_ejja	come	venir	poenaje	poenaje	p o e n a j e		177		
2811	Matses	fall [drop]	caer(-se)	paɨd	paɨd	p a ɨ d	fall	334		
2812	Matis	fall [drop]	caer(-se)	pakɨd	pakɨd	p a k ɨ d		334		
2813	Marubo	fall [drop]	caer(-se)	pakɨ	pakɨ	p a k ɨ		334		
2814	Katukina	fall [drop]	caer(-se)	paki	paki	p a k i		334		
2815	Shipibo_Konibo	fall [drop]	caer(-se)	pakɨt	pakɨt	p a k ɨ t		334		
2816	Kapanawa	fall [drop]	caer(-se)	pakɨ	pakɨ	p a k ɨ		334		
2817	Arara	fall [drop]	caer(-se)	pakɨ	pakɨ	p a k ɨ		334		
2818	Shanenawa	fall [drop]	caer(-se)	pakɨ	pakɨ	p a k ɨ		334		
2819	Yawanawa	fall [drop]	caer(-se)	pakɨ	pakɨ	p a k ɨ		334		
2820	Iskonawa	fall [drop]	caer(-se)	pakɨ	pakɨ	p a k ɨ		334		
2821	Chakobo	fall [drop]	caer(-se)	pakɨ	pakɨ	p a k ɨ		334		
2822	Chakobo	fall [drop]	caer(-se)	poʂo	poʂo	p o ʂ o		339		
2823	Kakataibo	fall [drop]	caer(-se)	nipakɨ	nipakɨ	n i p a k ɨ		334		
2824	Kaxarari	fall [drop]	caer(-se)	kawa	kawa	k a w a		335		
2825	Kaxarari	fall [drop]	caer(-se)	wilo	wilo	w i l o		338		
2826	Mastanawa	fall [drop]	caer(-se)	paɨa	paɨa	p a ɨ a		334		
2827	Chaninawa	fall [drop]	caer(-se)	pakɨ	pakɨ	p a k ɨ		334		
2828	Sharanawa	fall [drop]	caer(-se)	pakɨ	pakɨ	p a k ɨ		334		
2829	Amawaka	fall [drop]	caer(-se)	pakɨʔɨ	pakɨʔɨ	p a k ɨ ʔ ɨ		334		
2830	Nawa	fall [drop]	caer(-se)	pakɨ	pakɨ	p a k ɨ		334		
2831	Marinawa	fall [drop]	caer(-se)	pakɨ	pakɨ	p a k ɨ		334		
2832	Yaminawa	fall [drop]	caer(-se)	paʔɨ	paʔɨ	p a ʔ ɨ		334		
2833	Kashinawa_P	fall [drop]	caer(-se)	kawana	kawana	k a w a n a		335		
2834	Kashinawa_B	fall [drop]	caer(-se)	tinika	tinika	t i n i k a		340		
2835	Araona	fall [drop]	caer(-se)	bisa	bisa	b i s a		337		
2836	Araona	fall [drop]	caer(-se)	pai	pai	p a i		334		
2837	Tacana	fall [drop]	caer(-se)	dajaja	dajaja	d a j a j a		264		
2838	Cavinena	fall [drop]	caer(-se)	pacacaya	pacacaya	p a c a c a j a		336		
2839	Ese_ejja	fall [drop]	caer(-se)	oquenaje	oquenaje	o q u e n a j e		341		
2840	Matses	hold [in hand]	agarrar sostener	sanan	sanan	s a n a n	hold	601		
2841	Matis	hold [in hand]	agarrar sostener	tɨdin	tɨdin	t ɨ d i n		538		
2842	Marubo	hold [in hand]	agarrar sostener	tuin	tuin	t u i n		598		
2843	Katukina	hold [in hand]	agarrar sostener	tuyna	tuyna	t u j n a		598		
2844	Shipibo_Konibo	hold [in hand]	agarrar sostener	βi	βi	β i		599		
2845	Kapanawa	hold [in hand]	agarrar sostener	βi	βi	β i		599		
2846	Shanenawa	hold [in hand]	agarrar sostener	tʃuma	tʃuma	tʃ u m a		597		
2847	Iskonawa	hold [in hand]	agarrar sostener	achi	achi	a tʃ i		596		
2848	Chakobo	hold [in hand]	agarrar sostener	atʃa	atʃa	a tʃ a		596		
2849	Kakataibo	hold [in hand]	agarrar sostener	tuin	tuin	t u i n		598		
2850	Mastanawa	hold [in hand]	agarrar sostener	aʧi	aʧi	a tʃ i		596		
2851	Chaninawa	hold [in hand]	agarrar sostener	t͡suba	t͡suba	ts u b a		597		
2852	Sharanawa	hold [in hand]	agarrar sostener	t͡suba	t͡suba	ts u b a		597		
2853	Amawaka	hold [in hand]	agarrar sostener	at͡ʃi	at͡ʃi	a tʃ i		596		
2854	Nawa	hold [in hand]	agarrar sostener	aʧi	aʧi	a tʃ i		596		
2855	Marinawa	hold [in hand]	agarrar sostener	jata	jata	j a t a		596		
2856	Yaminawa	hold [in hand]	agarrar sostener	aʧi	aʧi	a tʃ i		596		
2857	Kashinawa_P	hold [in hand]	agarrar sostener	tsuma	tsuma	ts u m a		597		
2858	Araona	hold [in hand]	agarrar sostener	iña	iña	i ɲ a		600		
2859	Tacana	hold [in hand]	agarrar sostener	ina-	ina	i n a		600		
2860	Cavinena	hold [in hand]	agarrar sostener	sabuya	sabuya	s a b u j a		602		
2861	Ese_ejja	hold [in hand]	agarrar sostener	iñanake	iñanake	i ɲ a n a k e		603		
2862	Matses	give	dar	mene	mene	m e + n e	hand _ne	496		
2863	Matis	give	dar	mene	mene	m e n e	hand _ne	496		
2864	Marubo	give	dar	ina	ina	i n a		491		
2865	Katukina	give	dar	ina	ina	i n a		491		
2866	Shipibo_Konibo	give	dar	mɨni	mɨni	m ɨ n i		496		
2867	Kapanawa	give	dar	inan	inan	i n a n		491		
2868	Shanenawa	give	dar	inan	inan	i n a n		491		
2869	Yawanawa	give	dar	inan	inan	i n a n		491		
2870	Poyanawa	give	dar	inan	inan	i n a n		491		
2871	Iskonawa	give	dar	mini	mini	m i n i		496		
2872	Iskonawa	give	dar	inan	inan	i n a n		491		
2873	Chakobo	give	dar	mɨ	mɨ	m ɨ		496		
2874	Kakataibo	give	dar	ʔinan	ʔinan	ʔ i n a n		491		
2875	Mastanawa	give	dar	ina	ina	i n a		491		
2876	Chaninawa	give	dar	inan	inan	i n a n		491		
2877	Sharanawa	give	dar	inan	inan	i n a n		491		
2878	Amawaka	give	dar	ina	ina	i n a		491		
2879	Nawa	give	dar	ina	ina	i n a		491		
2880	Marinawa	give	dar	ina	ina	i n a		491		
2881	Yaminawa	give	dar	biʔdi	biʔdi	b i ʔ d i		496		
2882	Kashinawa_P	give	dar	inan	inan	i n a n		491		
2883	Araona	give	dar	ti	ti	t i		497		
2884	Araona	give	dar	siji	siji	s i j i		497		
2885	Tacana	give	dar	tia	tia	t i a		497		
2886	Cavinena	give	dar	tyaya	tyaya	t j a j a		497		
2887	Ese_ejja	give	dar	quianaje	quianaje	q u i a n a j e		497		
2888	Matses	pull	jalar	ʂɨkka	ʂɨkka	ʂ ɨ k + k a	pull _ka	851		
2889	Matis	pull	jalar	tɨkka	tɨkka	t ɨ k + k a	pull _ka	851		
2890	Marubo	pull	jalar	tɨri	tɨri	t ɨ r i		851		
2891	Shipibo_Konibo	pull	jalar	nini	nini	n i n i		874		
2892	Kapanawa	pull	jalar	nini	nini	n i n i		874		
2893	Arara	pull	jalar	nindi	nindi	n i n d i		874		
2894	Shanenawa	pull	jalar	nini	nini	n i n i		874		
2895	Yawanawa	pull	jalar	nini	nini	n i n i		874		
2896	Iskonawa	pull	jalar	ha ha ak	ha ha ak	h a # h a # a k		879		
2897	Chakobo	pull	jalar	nini	nini	n i n i		874		
2898	Kakataibo	pull	jalar	nini	nini	n i n i		874		
2899	Kaxarari	pull	jalar	waraha	waraha	w a r a h a		878		
2900	Mastanawa	pull	jalar	didi	didi	d i d i		874		
2901	Chaninawa	pull	jalar	didi	didi	d i d i		874		
2902	Sharanawa	pull	jalar	didi	didi	d i d i		874		
2903	Amawaka	pull	jalar	nindi	nindi	n i n d i		874		
2904	Nawa	pull	jalar	didi	didi	d i d i		874		
2905	Marinawa	pull	jalar	dindi	dindi	d i n d i		874		
2906	Yaminawa	pull	jalar	didi	didi	d i d i		874		
2907	Kashinawa_P	pull	jalar	nini	nini	n i n i		874		
2908	Kashinawa_B	pull	jalar	nini	nini	n i n i		874		
2909	Araona	pull	jalar	lekuekuea	lekuekuea	l e k u e k u e a		882		
2910	Tacana	pull	jalar	?	ʔ	ʔ		877		
2911	Cavinena	pull	jalar	tinuya	tinuya	t i n u j a		881		
2912	Cavinena	pull	jalar	repeya	repeya	r e p e j a		876		
2913	Ese_ejja	pull	jalar	jjequiyiyenaje	jjequiyiyenaje	dʒː e q u i j i j e n a j e		880		
2914	Matses	push	empujar	tsikunne	tsikunne	ts i k u nː e	?	832		
2915	Matis	push	empujar	kune	kune	k u n e		832		
2916	Marubo	push	empujar	masta	masta	m a s t a		889		
2917	Katukina	push	empujar	xutu	xutu	x u t u		884		
2918	Shipibo_Konibo	push	empujar	ʂutun	ʂutun	ʂ u t u n		884		
2919	Kapanawa	push	empujar	wɨra	wɨra	w ɨ r a		886		
2920	Kapanawa	push	empujar	ʂutun	ʂutun	ʂ u t u n		884		
2921	Shanenawa	push	empujar	pakɨ	pakɨ	p a k ɨ		883		
2922	Yawanawa	push	empujar	tsiki	tsiki	ts i k i		883		
2923	Iskonawa	push	empujar	tɨtu	tɨtu	t ɨ t u		887		
2924	Chakobo	push	empujar	tʃima	tʃima	tʃ i m a		891		
2925	Kakataibo	push	empujar	tʃatʃi	tʃatʃi	tʃ a tʃ i		887		
2926	Kaxarari	push	empujar	kuita	kuita	k u i t a		890		
2927	Mastanawa	push	empujar	pɨʂu	pɨʂu	p ɨ ʂ u		883		
2928	Chaninawa	push	empujar	pɨt͡sikidi	pɨt͡sikidi	p ɨ ts i k i d i		883		
2929	Sharanawa	push	empujar	pɨt͡sikidi	pɨt͡sikidi	p ɨ ts i k i d i		883		
2930	Amawaka	push	empujar	mɨɾa	mɨɾa	m ɨ ɾ a		886		
2931	Nawa	push	empujar	pɨtsi	pɨtsi	p ɨ ts i		883		
2932	Marinawa	push	empujar	pɨtsikɨdi	pɨtsikɨdi	p ɨ ts i k ɨ d i		883		
2933	Yaminawa	push	empujar	pɨʂɨ	pɨʂɨ	p ɨ ʂ ɨ		883		
2934	Kashinawa_P	push	empujar	ʂutu	ʂutu	ʂ u t u		884		
2935	Araona	push	empujar	je-anakiki	jeanakiki	j e a n a k i k i		892		
2936	Araona	push	empujar	nono	nono	n o n o		885		
2937	Tacana	push	empujar	nunu	nunu	n u n u		885		
2938	Cavinena	push	empujar	ituyasha	ituyasha	i t u j a ʃ a		888		
2939	Ese_ejja	push	empujar	yiyejeanaje	yiyejeanaje	j i j e j e a n a j e		893		
2940	Matses	turn [intr. v.]	voltear(se) girar	βidiad	βidiad	β i d i a d	bi _diad	1345		
2941	Matis	turn [intr. v.]	voltear(se) girar	βidikiakɨd	βidikiakɨd	β i d i + k i a + k ɨ d		1345		
2942	Marubo	turn [intr. v.]	voltear(se) girar	βɨsukɨ	βɨsukɨ	β ɨ s u k ɨ		1346		
2943	Katukina	turn [intr. v.]	voltear(se) girar	hiku	hiku	h i k u		1354		
2944	Shipibo_Konibo	turn [intr. v.]	voltear(se) girar	raβɨ	raβɨ	r a β ɨ		1343		
2945	Kapanawa	turn [intr. v.]	voltear(se) girar	raβɨ	raβɨ	r a β ɨ		1343		
2946	Arara	turn [intr. v.]	voltear(se) girar	ua	ua	u a		1350		
2947	Yawanawa	turn [intr. v.]	voltear(se) girar	nitã	nitã	n i t ã		1351		
2948	Iskonawa	turn [intr. v.]	voltear(se) girar	maja	maja	m a j a		1349		
2949	Chakobo	turn [intr. v.]	voltear(se) girar	βupi	βupi	β u p i		1356		
2950	Kakataibo	turn [intr. v.]	voltear(se) girar	kwanankɨ	kwanankɨ	kʷ a n a n k ɨ		1348		
2951	Kaxarari	turn [intr. v.]	voltear(se) girar	pu	pu	p u		1353		
2952	Mastanawa	turn [intr. v.]	voltear(se) girar	ɸuswakaw	ɸuswakaw	ɸ u sʷ a k a w		1346		
2953	Chaninawa	turn [intr. v.]	voltear(se) girar	ɾaɸɨ	ɾaɸɨ	ɾ a ɸ ɨ		1343		
2954	Sharanawa	turn [intr. v.]	voltear(se) girar	ɾaɸɨ	ɾaɸɨ	ɾ a ɸ ɨ		1343		
2955	Amawaka	turn [intr. v.]	voltear(se) girar	huʔi	huʔi	h u ʔ i		1347		
2956	Nawa	turn [intr. v.]	voltear(se) girar	ũnwĩ	ũnwĩ	ũ n w ĩ		1352		
2957	Marinawa	turn [intr. v.]	voltear(se) girar	ɾaɸɨ	ɾaɸɨ	ɾ a ɸ ɨ		1343		
2958	Yaminawa	turn [intr. v.]	voltear(se) girar	lawɨ	lawɨ	l a w ɨ		1343		
2959	Kashinawa_P	turn [intr. v.]	voltear(se) girar	daβɨkɨ	daβɨkɨ	d a β ɨ k ɨ		1343		
2960	Kashinawa_B	turn [intr. v.]	voltear(se) girar	anuhu	anuhu	a n u h u		1347		
2961	Araona	turn [intr. v.]	voltear(se) girar	balele	balele	b a l e l e		1344		
2962	Tacana	turn [intr. v.]	voltear(se) girar	jabarereati	jabarereati	j a b a r e r e a t i		1344		
2963	Cavinena	turn [intr. v.]	voltear(se) girar	huarereya	huarereya	h u a r e r e j a		1357		
2964	Ese_ejja	turn [intr. v.]	voltear(se) girar	cueajeadobeacanaje	cueajeadobeacanaje	c u e a j e a d o b e a c a n a j e		1355		
2965	Matses	throw	tirar lanzar	ne	ne	n e	throw	1316		
2966	Matis	throw	tirar lanzar	ne	ne	n e		1316		
2967	Marubo	throw	tirar lanzar	untʃi	untʃi	u n tʃ i		1320		
2968	Shipibo_Konibo	throw	tirar lanzar	puta	puta	p u t a		1314		
2969	Kapanawa	throw	tirar lanzar	tsaka	tsaka	ts a k a		1315		
2970	Shanenawa	throw	tirar lanzar	puta	puta	p u t a		1314		
2971	Yawanawa	throw	tirar lanzar	puta	puta	p u t a		1314		
2972	Poyanawa	throw	tirar lanzar	puta	puta	p u t a		1314		
2973	Iskonawa	throw	tirar lanzar	miɾi	miɾi	m i ɾ i		1318		
2974	Chakobo	throw	tirar lanzar	nia	nia	n i a		1316		
2975	Kakataibo	throw	tirar lanzar	pu	pu	p u		1314		
2976	Kaxarari	throw	tirar lanzar	nial	nial	n i a l		1321		
2977	Mastanawa	throw	tirar lanzar	puta	puta	p u t a		1314		
2978	Mastanawa	throw	tirar lanzar	tsaka	tsaka	ts a k a		1315		
2979	Chaninawa	throw	tirar lanzar	t͡saka	t͡saka	ts a k a		1315		
2980	Sharanawa	throw	tirar lanzar	puta	puta	p u t a		1314		
2981	Amawaka	throw	tirar lanzar	t͡saka	t͡saka	ts a k a		1315		
2982	Nawa	throw	tirar lanzar	puta	puta	p u t a		1314		
2983	Marinawa	throw	tirar lanzar	puta	puta	p u t a		1314		
2984	Yaminawa	throw	tirar lanzar	puʔta	puʔta	p u ʔ t a		1314		
2985	Yaminawa	throw	tirar lanzar	tsaʔa	tsaʔa	ts a ʔ a		1315		
2986	Kashinawa_P	throw	tirar lanzar	puta	puta	p u t a		1314		
2987	Kashinawa_P	throw	tirar lanzar	tsaka	tsaka	ts a k a		1315		
2988	Araona	throw	tirar lanzar	jia	jia	j i a		1317		
2989	Araona	throw	tirar lanzar	pisa	pisa	p i s a		1319		
2990	Tacana	throw	tirar lanzar	sia-	sia	s i a		1317		
2991	Cavinena	throw	tirar lanzar	mareya	mareya	m a r e j a		1318		
2992	Ese_ejja	throw	tirar lanzar	jajahuohuonaje	jajahuohuonaje	j a j a h u o h u o n a j e		1322		
2993	Matses	play	jugar	mamɨn	mamɨn	m a m ɨ n	laugh	867		
2994	Matis	play	jugar	tʃuke	tʃuke	tʃ u k e		868		
2995	Marubo	play	jugar	wɨsia	wɨsia	w ɨ s i a		869		
2996	Marubo	play	jugar	usan	usan	u s a n	play	864		
2997	Shipibo_Konibo	play	jugar	tsini	tsini	ts i n i		866		
2998	Kapanawa	play	jugar	ʃiru	ʃiru	ʃ i r u		862		
2999	Arara	play	jugar	ʃuʃui	ʃuʃui	ʃ u ʃ u i		862		
3000	Shanenawa	play	jugar	ʂuʂu	ʂuʂu	ʂ u ʂ u		862		
3001	Yawanawa	play	jugar	ʃuʃu	ʃuʃu	ʃ u ʃ u		862		
3002	Iskonawa	play	jugar	mɨka	mɨka	m ɨ k a		863		
3003	Chakobo	play	jugar	kaʂa	kaʂa	k a ʂ a		861		
3004	Kakataibo	play	jugar	kwai	kwai	kʷ a i		809		
3005	Mastanawa	play	jugar	kaʂɨ	kaʂɨ	k a ʂ ɨ		861		
3006	Chaninawa	play	jugar	kaʂɨ	kaʂɨ	k a ʂ ɨ		861		
3007	Sharanawa	play	jugar	kaʂɨ	kaʂɨ	k a ʂ ɨ		861		
3008	Amawaka	play	jugar	mɨka	mɨka	m ɨ k a		863		
3009	Nawa	play	jugar	kaʂɨ	kaʂɨ	k a ʂ ɨ		861		
3010	Marinawa	play	jugar	kaʂɨ	kaʂɨ	k a ʂ ɨ		861		
3011	Yaminawa	play	jugar	kaʂɨ	kaʂɨ	k a ʂ ɨ		861		
3012	Yaminawa	play	jugar	ʂuʂu	ʂuʂu	ʂ u ʂ u		862		
3013	Kashinawa_P	play	jugar	βɨjusa	βɨjusa	β ɨ j u s a		870		
3014	Araona	play	jugar	topa	topa	t o p a		873		
3015	Tacana	play	jugar	jasituti	jasituti	j a s i t u t i		865		
3016	Cavinena	play	jugar	ijahue juya	ijahue juya	i j a h u e # j u j a		872		
3017	Ese_ejja	play	jugar	quebanee poanaje	quebanee poanaje	q u e b a n eː # p o a n a j e		871		
3018	Matses	wash	lavar	pan	pan	p a n	wash	1386		
3019	Matis	wash	lavar	ʃik	ʃik	ʃ i k		1389		
3020	Marubo	wash	lavar	tʃaka	tʃaka	tʃ a k a		1384		
3021	Katukina	wash	lavar	txua	txua	t x u a		1384		
3022	Shipibo_Konibo	wash	lavar	patsa	patsa	p a ts a		1383		
3023	Kapanawa	wash	lavar	dapan	dapan	d a p a n		1386		
3024	Kapanawa	wash	lavar	patsa	patsa	p a ts a		1383		
3025	Arara	wash	lavar	pãsa	pãsa	p ã s a		1383		
3026	Shanenawa	wash	lavar	tʃuka	tʃuka	tʃ u k a		1384		
3027	Yawanawa	wash	lavar	tʃuka	tʃuka	tʃ u k a		1384		
3028	Poyanawa	wash	lavar	ʧuki	ʧuki	tʃ u k i		1384		
3029	Iskonawa	wash	lavar	ʧuka	ʧuka	tʃ u k a		1384		
3030	Chakobo	wash	lavar	tʃuku	tʃuku	tʃ u k u		1384		
3031	Pakawara	wash	lavar	aʃi	aʃi	a ʃ i		1383		
3032	Kakataibo	wash	lavar	tʃuka	tʃuka	tʃ u k a		1384		
3033	Kaxarari	wash	lavar	palo	palo	p a l o		1386		
3034	Mastanawa	wash	lavar	patsa	patsa	p a ts a		1383		
3035	Chaninawa	wash	lavar	pat͡san	pat͡san	p a ts a n		1383		
3036	Sharanawa	wash	lavar	t͡ʃuka	t͡ʃuka	tʃ u k a		1384		
3037	Sharanawa	wash	lavar	pat͡san	pat͡san	p a ts a n		1383		
3038	Amawaka	wash	lavar	pat͡san	pat͡san	p a ts a n		1383		
3039	Nawa	wash	lavar	patsaj	patsaj	p a ts a dʒ		1383		
3040	Nawa	wash	lavar	ʧuka	ʧuka	tʃ u k a		1384		
3041	Marinawa	wash	lavar	patsaj	patsaj	p a ts a dʒ		1383		
3042	Marinawa	wash	lavar	ʧukaj	ʧukaj	tʃ u k a dʒ		1384		
3043	Yaminawa	wash	lavar	patsa	patsa	p a ts a		1383		
3044	Kashinawa_P	wash	lavar	patsa	patsa	p a ts a		1383		
3045	Araona	wash	lavar	lukua	lukua	l u k u a		1387		
3046	Tacana	wash	lavar	rucua	rucua	r u c u a		1387		
3047	Tacana	wash	lavar	pupupupu	pupupupu	p u p u p u p u		1388		
3048	Tacana	wash	lavar	d'acuad'acua	d'acuad'acua	d a c u a d a c u a		1337		
3049	Cavinena	wash	lavar	utsaya	utsaya	u ts a j a		1385		
3050	Ese_ejja	wash	lavar	tajjanaje	tajjanaje	t a dʒː a n a j e		1385		
3051	Matses	wipe	limpiar enjugar	uk	uk	u k	wipe	1489		
3052	Matis	wipe	limpiar enjugar	uk	uk	u k	wipe	1489		
3053	Marubo	wipe	limpiar enjugar	tuʃku	tuʃku	t u ʃ + k u	wipe _ku	1490		
3054	Katukina	wipe	limpiar enjugar	matxi	matxi	m a t x i		1495		
3055	Katukina	wipe	limpiar enjugar	rini	rini	r i n i		1492		
3056	Shipibo_Konibo	wipe	limpiar enjugar	sua	sua	s u a		1487		
3057	Kapanawa	wipe	limpiar enjugar	wasa	wasa	w a s a		1626		
3058	Kapanawa	wipe	limpiar enjugar	sua	sua	s u a		1487		
3059	Iskonawa	wipe	limpiar enjugar	sua	sua	s u a		1487		
3060	Chakobo	wipe	limpiar enjugar	sinu	sinu	s i n u		1498		
3061	Chakobo	wipe	limpiar enjugar	masa	masa	m a s a		1626		
3062	Kakataibo	wipe	limpiar enjugar	tɨrɨn	tɨrɨn	t ɨ r ɨ n		1486		
3063	Mastanawa	wipe	limpiar enjugar	tɨɾɨa	tɨɾɨa	t ɨ ɾ ɨ a		1486		
3064	Chaninawa	wipe	limpiar enjugar	t͡ʃuka	t͡ʃuka	tʃ u k a		1490		
3065	Sharanawa	wipe	limpiar enjugar	tɨɾɨa	tɨɾɨa	t ɨ ɾ ɨ a		1486		
3066	Amawaka	wipe	limpiar enjugar	mat͡su	mat͡su	m a ts u		1491		
3067	Nawa	wipe	limpiar enjugar	ʂaɾa	ʂaɾa	ʂ a ɾ a		1488		
3068	Marinawa	wipe	limpiar enjugar	tɨɾɨaki	tɨɾɨaki	t ɨ ɾ ɨ a k i		1486		
3069	Yaminawa	wipe	limpiar enjugar	ʃaɾawa	ʃaɾawa	ʃ a ɾ a w a		1488		
3070	Kashinawa_P	wipe	limpiar enjugar	jinkɨwa	jinkɨwa	j i n k ɨ w a		1500		
3071	Araona	wipe	limpiar enjugar	jaicha	jaicha	j a i tʃ a		1499		
3072	Araona	wipe	limpiar enjugar	awishi	awishi	a w i ʃ i		1493		
3073	Tacana	wipe	limpiar enjugar	tsitsi	tsitsi	ts i ts i		1494		
3074	Cavinena	wipe	limpiar enjugar	tillaya	tillaya	t i lː a j a		1501		
3075	Ese_ejja	wipe	limpiar enjugar	cuinaje	cuinaje	c u i n a j e		1497		
3076	Matses	rub	sobar frotar	da-ʂun	daʂun	d a ʂ u n	da _sun	949		
3077	Matis	rub	sobar frotar	tɨkɨka	tɨkɨka	t ɨ k ɨ + k a	rub _ka	1587		
3078	Marubo	rub	sobar frotar	tuʃku	tuʃku	t u ʃ k u	wipe _ku	1586		
3079	Shipibo_Konibo	rub	sobar frotar	ʂɨyu	ʂɨyu	ʂ ɨ j u		944		
3080	Kapanawa	rub	sobar frotar	tuyu	tuyu	t u j u		944		
3081	Kapanawa	rub	sobar frotar	rɨnkɨ	rɨnkɨ	r ɨ n k ɨ		943		
3082	Poyanawa	rub	sobar frotar	haki	haki	h a k i		948		
3083	Chakobo	rub	sobar frotar	sinu	sinu	s i n u		953		
3084	Chakobo	rub	sobar frotar	masa	masa	m a s a		946		
3085	Kakataibo	rub	sobar frotar	tʃɨka	tʃɨka	tʃ ɨ k a		945		
3086	Mastanawa	rub	sobar frotar	tɨɾɨa	tɨɾɨa	t ɨ ɾ ɨ a		943		
3087	Chaninawa	rub	sobar frotar	ɸiʃkia	ɸiʃkia	ɸ i ʃ k i a		952		
3088	Sharanawa	rub	sobar frotar	tɨɾɨa	tɨɾɨa	t ɨ ɾ ɨ a		943		
3089	Amawaka	rub	sobar frotar	tɨɾɨki	tɨɾɨki	t ɨ ɾ ɨ k i		943		
3090	Nawa	rub	sobar frotar	tɨɾaki	tɨɾaki	t ɨ ɾ a k i		943		
3091	Marinawa	rub	sobar frotar	tɨɾɨaki	tɨɾɨaki	t ɨ ɾ ɨ a k i		943		
3092	Yaminawa	rub	sobar frotar	lɨjuwi	lɨjuwi	l ɨ j u w i		1585		
3093	Kashinawa_P	rub	sobar frotar	huʂwa	huʂwa	h u ʂʷ a		950		
3094	Araona	rub	sobar frotar	kuiji	kuiji	k u i j i		954		
3095	Tacana	rub	sobar frotar	puchipuchia	puchipuchia	p u tʃ i p u tʃ i a		947		
3096	Ese_ejja	rub	sobar frotar	mishinaje	mishinaje	m i ʃ i n a j e		951		
3097	Matses	count [verb]	contar	tan	tan	t a n	count	184		
3098	Marubo	count [verb]	contar	tana	tana	t a n a	feel	184		
3099	Katukina	count [verb]	contar	katse	katse	k a ts e		188		
3100	Shipibo_Konibo	count [verb]	contar	tupun	tupun	t u p u n		191		
3101	Kapanawa	count [verb]	contar	tupun	tupun	t u p u n		191		
3102	Iskonawa	count [verb]	contar	tupun	tupun	t u p u n		191		
3103	Chakobo	count [verb]	contar	tuka	tuka	t u k a		192		
3104	Kakataibo	count [verb]	contar	tupu	tupu	t u p u		191		
3105	Mastanawa	count [verb]	contar	tanaɸa	tanaɸa	t a n a ɸ a		184		
3106	Chaninawa	count [verb]	contar	tanawa	tanawa	t a n a w a		184		
3107	Sharanawa	count [verb]	contar	tanawa	tanawa	t a n a w a		184		
3108	Amawaka	count [verb]	contar	tanan	tanan	t a n a n		184		
3109	Nawa	count [verb]	contar	tanawaj	tanawaj	t a n a w a dʒ		184		
3110	Marinawa	count [verb]	contar	tana	tana	t a n a		184		
3111	Yaminawa	count [verb]	contar	adɨ	adɨ	a d ɨ		186		
3112	Kashinawa_P	count [verb]	contar	tana	tana	t a n a		184		
3113	Araona	count [verb]	contar	topo	topo	t o p o		191		
3114	Tacana	count [verb]	contar	idada	idada	i d a d a		187		
3115	Cavinena	count [verb]	contar	piye baya	piye baya	p i j e # b a j a		190		
3116	Ese_ejja	count [verb]	contar	huohuinaje	huohuinaje	h u o h u i n a j e		189		
3117	Matses	kill	matar	ak	ak	a k	do	639		
3118	Matis	kill	matar	ak	ak	a k	do	639		
3119	Marubo	kill	matar	jamama	jamama	j a m a m a		645		
3120	Katukina	kill	matar	atan	atan	a t a n		646		
3121	Katukina	kill	matar	maki	maki	m a k i		552		
3122	Shipibo_Konibo	kill	matar	rɨtɨ	rɨtɨ	r ɨ t ɨ	kill	638		
3123	Kapanawa	kill	matar	rɨtɨ	rɨtɨ	r ɨ t ɨ	kill	638		
3124	Arara	kill	matar	rɨtɨ	rɨtɨ	r ɨ t ɨ		638		
3125	Shanenawa	kill	matar	rɨtɨ	rɨtɨ	r ɨ t ɨ		638		
3126	Yawanawa	kill	matar	rɨtɨ	rɨtɨ	r ɨ t ɨ		638		
3127	Nukini	kill	matar	rɨtɨ	rɨtɨ	r ɨ t ɨ		638		
3128	Poyanawa	kill	matar	kuja	kuja	k u j a		644		
3129	Iskonawa	kill	matar	marɨ	marɨ	m a r ɨ		642		
