ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID
682	Yawanawa	neck	tɨʃu	tɨʃu	t ɨ + ʃ u		810
683	Nukini	neck	nipika	nipika	n i p i k a		804
684	Nukini	neck	tukɨ	tɨkɨ	t ɨ + k ɨ		810
685	Poyanawa	neck	tɨhu	tɨhu	t ɨ + h u		810
686	Iskonawa	neck	tɨhu	tɨhu	t ɨ + h u		810
687	Chakobo	neck	tɨpuku	tɨpuku	t ɨ + p u k u		810
688	Pakawara	neck	tikana	tikana	t i + k a n a		810
689	Kakataibo	neck	tɨʂa	tɨʂa	t ɨ + ʂ a		810
690	Kaxarari	neck	tɨiwi	tɨiwi	t ɨ + i w i		810
691	Mastanawa	neck	tɨʂu	tɨʂu	t ɨ + ʂ u		810
692	Chaninawa	neck	tɨsto	tɨsto	t ɨ + s t o		810
693	Sharanawa	neck	tɨʂu	tɨʂu	t ɨ + ʂ u		810
694	Amawaka	neck	çau	çau	t ɨ + ç u		806
695	Nawa	neck	tɨʂu	tɨʂu	t ɨ + ʂ u		810
696	Nawa	neck	tɨmaʂka	tɨmaʂka	t ɨ + m a ʂ k a		810
697	Marinawa	neck	tɨʂu	tɨʂu	t ɨ + ʂ u		810
698	Yaminawa	neck	tɨʂu	tɨʂu	t ɨ + ʂ u		810
699	Kashinawa_P	neck	tɨʂu	tɨʂu	t ɨ + ʂ u		810
700	Kashinawa_B	neck	tɨʂu	tɨʂu	t ɨ + ʂ u		810
701	Araona	neck	nala	nala	n a l a		811
3727	Matses	new	tʃuka	tʃuka	tʃ u k a		818
3728	Matis	new	paʂa	paʂa	p a ʂ a		813
3729	Marubo	new	βɨna	βɨna	β ɨ n a		812
3730	Katukina	new	βena	βena	β e n a		812
3731	Shipibo_Konibo	new	βɨna	βɨna	β ɨ n a		812
3732	Kapanawa	new	βɨna	βɨna	β ɨ n a		812
3733	Shanenawa	new	fɨna	fɨna	f ɨ n a		812
3734	Yawanawa	new	βɨna	βɨna	β ɨ n a		812
3735	Poyanawa	new	βɨhu	βɨhu	β ɨ h u		812
3736	Iskonawa	new	βɨna	βɨna	β ɨ n a		812
3737	Chakobo	new	paʂa	paʂa	p a ʂ a		813
3738	Kakataibo	new	io	io	i o		820
3739	Kaxarari	new	xawɨlakɨ	xawɨlakɨ	x/ʂ a w ɨ l a k ɨ		819
3740	Mastanawa	new	ɸɨda	ɸɨda	ɸ ɨ d a		812
3741	Chaninawa	new	ɸɨda	ɸɨda	ɸ ɨ d a		812
3742	Sharanawa	new	ɸɨda	ɸɨda	ɸ ɨ d a		812
3743	Amawaka	new	wɨnda	wɨnda	w ɨ ⁿd a		812
3744	Nawa	new	ɸɨda	ɸɨda	ɸ ɨ d a		812
3745	Marinawa	new	ɸɨnda	ɸɨnda	ɸ ɨ ⁿd a		812
3746	Yaminawa	new	ɸɨda	ɸɨda	ɸ ɨ d a		812
3747	Kashinawa_P	new	βɨna	βɨna	β ɨ n a		812
3748	Kashinawa_B	new	βɨna	βɨna	β ɨ n a		812
3749	Araona	new	nana	nana	n a n a		815
3750	Araona	new	shakua	shakua	ʃ a k u a		814
1827	Matses	night	intʂɨʂ	intʂɨʂ	i n ʈʂ ɨ ʂ		828
1828	Matis	night	imɨd	imɨd	i m ɨ d		823
1829	Marubo	night	jamɨ	jamɨ	j a m ɨ		823
1830	Katukina	night	yame	yame	j a m e		823
1831	Kanamari	night	yamɨ	yamɨ	j a m ɨ		823
1832	Shipibo_Konibo	night	yamɨ	yamɨ	j a m ɨ		823
1833	Kapanawa	night	yamɨ	yamɨ	j a m ɨ		823
1834	Shanenawa	night	jamɨ	jamɨ	j a m ɨ		823
1835	Yawanawa	night	iamɨ	iamɨ	i a m ɨ		823
1836	Nukini	night	βaʃki	βaʃki	β a ʃ k i		824
1837	Poyanawa	night	jambɨ	jambɨ	j a m b ɨ		823
1838	Iskonawa	night	βakiʃ	βakiʃ	β a k i ʃ		824
1839	Iskonawa	night	jamɨ	jamɨ	j a m ɨ		823
1840	Chakobo	night	βakitʃa	βakitʃa	β a k i tʃ a		824
1841	Kakataibo	night	imɨ	imɨ	i m ɨ		823
1842	Kaxarari	night	yamɨta	yamɨta	j a m ɨ t a		823
1843	Mastanawa	night	ɸaiʃ	ɸaiʃ	ɸ a i ʃ		824
1844	Chaninawa	night	jabɨ	jabɨ	j a b ɨ		823
1845	Sharanawa	night	jabɨ	jabɨ	j a b ɨ		823
1846	Amawaka	night	jambɨ	jambɨ	j a m b ɨ		823
1847	Nawa	night	jabɨ	jabɨ	j a b ɨ		823
1848	Marinawa	night	jambɨ	jambɨ	j a m b ɨ		823
1849	Yaminawa	night	waʔiʃ	waʔiʃ	w a ʔ i ʃ		824
1850	Kashinawa_P	night	mɨʂu	mɨʂu	m ɨ ʂ u		825
1851	Kashinawa_P	night	jamɨ	jamɨ	j a m ɨ		823
1852	Kashinawa_B	night	mɨʂumɨdã	mɨʂumɨdã	m ɨ ʂ u		825
1853	Araona	night	sisa	sisa	s i s a		829
568	Matses	nose	dɨβiate	dɨβiate	d ɨ + β i a t e		830
569	Matis	nose	dɨʂan	dɨʂan	d ɨ + ʂ a n		830
570	Marubo	nose	rɨkin	rɨkin	r ɨ + k i n		830
571	Katukina	nose	renkin	renkin	r ɨ + k i n		830
572	Kanamari	nose	rɨkĩ	rɨkĩ	r ɨ + k ĩ		830
573	Shipibo_Konibo	nose	rɨkin	rɨkin	r ɨ + k i n		830
574	Kapanawa	nose	rɨkin	rɨkin	r ɨ + k i n		830
575	Shanenawa	nose	rɨkin	rɨkin	r ɨ + k i n		830
576	Yawanawa	nose	rɨkin	rɨkin	r ɨ + k i n		830
577	Nukini	nose	rɨ̃kɨ̃	rɨ̃kɨ̃	r ɨ̃ + k ɨ̃		830
578	Poyanawa	nose	rɨnkĩ	rɨnkĩ	r ɨ + k ĩ		830
579	Iskonawa	nose	ɾɨnkĩ	ɾɨnkĩ	ɾ ɨ + k ĩ		830
580	Chakobo	nose	rɨʂaki	rɨʂaki	r ɨ + ʂ a k i		830
581	Pakawara	nose	rɨkina	rɨkina	r ɨ + k i n a		830
582	Kakataibo	nose	rɨkin	rɨkin	r ɨ + k i n		830
583	Kaxarari	nose	tʃɨkani	tʃɨkani	r ɨ + k a n i		830
584	Mastanawa	nose	ɾɨʧuʔu	ɾɨʧuʔu	ɾ ɨ + tʃ u ʔ u		830
585	Chaninawa	nose	ɾɨki	ɾɨki	ɾ ɨ + k i		830
586	Sharanawa	nose	ɾɨt͡ʃuku	ɾɨt͡ʃuku	ɾ ɨ + tʃ u k u		830
587	Amawaka	nose	ɾɨ(n)kin	ɾɨkin	ɾ ɨ + k i n		830
588	Nawa	nose	ɾɨʧa	ɾɨʧa	ɾ ɨ + tʃ a		830
589	Marinawa	nose	ɾɨʧuku	ɾɨʧuku	ɾ ɨ + tʃ u k u		830
590	Yaminawa	nose	ɾɨʧuʔu	ɾɨʧuʔu	ɾ ɨ + tʃ u ʔ u		830
591	Kashinawa_P	nose	dɨki	dɨki	d ɨ + k i		830
592	Kashinawa_P	nose	ɾɨki	ɾɨki	ɾ ɨ + k i		830
593	Kashinawa_B	nose	dɨkĩ	dɨkĩ	d ɨ + k ĩ		830
594	Araona	nose	ewi	ewi	e w i		831
3751	Matses	old [adj.]	ʂɨni	ʂɨni	ʂ ɨ n i		833
3752	Matis	old [adj.]	ʂɨni	ʂɨni	ʂ ɨ n i		833
3753	Marubo	old [adj.]	ʂɨni	ʂɨni	ʂ ɨ n i		833
3754	Katukina	old [adj.]	sheni-a	shenia	ʃ e n i a		833
3755	Shipibo_Konibo	old [adj.]	payu	payu	p a j u		837
3756	Kapanawa	old [adj.]	ʂɨni	ʂɨni	ʂ ɨ n i		833
3757	Shanenawa	old [adj.]	ani	ani	a n i		805
3758	Yawanawa	old [adj.]	ʃini	ʃini	ʃ i n i		833
3759	Nukini	old [adj.]	nusi	nusi	n u s i		834
3760	Poyanawa	old [adj.]	iwa	iwa	i w a		838
3761	Iskonawa	old [adj.]	hɨni	hɨni	h ɨ n i		833
3762	Chakobo	old [adj.]	yusi	yusi	j u s i		834
3763	Pakawara	old [adj.]	nui	nui	n u i		834
3764	Kakataibo	old [adj.]	ʂɨni	ʂɨni	ʂ ɨ n i		833
3765	Kaxarari	old [adj.]	tʃapawɨ	tʃapawɨ	tʃ a p a w ɨ		839
3766	Mastanawa	old [adj.]	ʂɨdi	ʂɨdi	ʂ ɨ d i		833
3767	Chaninawa	old [adj.]	ʂɨdi	ʂɨdi	ʂ ɨ d i		833
3768	Sharanawa	old [adj.]	ʂɨdi	ʂɨdi	ʂ ɨ d i		833
3769	Amawaka	old [adj.]	çɨndi	çɨndi	ç ɨ ⁿd i		833
3770	Nawa	old [adj.]	ʂɨdi	ʂɨdi	ʂ ɨ d i		833
3771	Marinawa	old [adj.]	ʂɨndi	ʂɨndi	ʂ ɨ ⁿd i		833
3772	Yaminawa	old [adj.]	ʂɨdi	ʂɨdi	ʂ ɨ d i		833
3773	Kashinawa_P	old [adj.]	ʂɨni	ʂɨni	ʂ ɨ n i		833
3774	Kashinawa_B	old [adj.]	mɨstɨβu	mɨstɨβu	m ɨ s t ɨ β u		840
3775	Araona	old [adj.]	esi	esi	e s i		835
3776	Araona	old [adj.]	poisa	poisa	p o i s a		836
4149	Matses	one	aβentsɨk	aβentsɨk	a + β e n + ts ɨ k		846
4150	Matis	one	epapa	epapa	e p a p a		847
4151	Marubo	one	wɨstiʃta	wɨstiʃta	w ɨ s t i ʃ t a		843
4152	Katukina	one	westi	westi	w e s t i		843
4153	Katukina	one	wistxi	wistxi	w i s ʈʂ i		843
4154	Kanamari	one	wɨste	wɨste	w ɨ s t e		843
4155	Shipibo_Konibo	one	wɨstiura	wɨstiura	w ɨ s t i + u r a		843
4156	Kapanawa	one	wɨsti	wɨsti	w ɨ s t i		843
4157	Shanenawa	one	wistisi	wistisi	w i s t i s i		843
4158	Yawanawa	one	wɨsti	wɨsti	w ɨ s t i		843
4159	Poyanawa	one	raβukamba	raβukamba	r a β u k a m b a		845
4160	Iskonawa	one	wistɨwan	wistɨwan	w i s t ɨ w a n		843
4161	Chakobo	one	wɨsti-ta	wɨstita	w ɨ s t i t a		843
4162	Pakawara	one	wistiʃna	wistiʃna	w i s t i ʃ n a		843
4163	Kakataibo	one	atʃuʃi	atʃuʃi	a tʃ u ʃ i		848
4164	Kaxarari	one	wɨspi	wɨspi	w ɨ s p i		843
4165	Mastanawa	one	ɸɨsti	ɸɨsti	ɸ ɨ s t i		843
4166	Chaninawa	one	ɸɨsti	ɸɨsti	ɸ ɨ s t i		843
4167	Sharanawa	one	ɸɨsti	ɸɨsti	ɸ ɨ s t i		843
4168	Amawaka	one	ti	ti	t i		850
4169	Nawa	one	ɸɨsti	ɸɨsti	ɸ ɨ s t i		843
4170	Marinawa	one	ɸɨsti	ɸɨsti	ɸ ɨ s t i		843
4171	Yaminawa	one	ɸisti	ɸisti	ɸ i s t i		843
4172	Kashinawa_P	one	βɨstiʧa	βɨstiʧa	β ɨ s t i tʃ a		843
4173	Kashinawa_B	one	βɨʂtitʃa	βɨʂtitʃa	β ɨ ʂ t i tʃ a		843
4174	Araona	one	peada	peada	p e a d a		844
4289	Matses	other	utsi	utsi	u ts i		852
4290	Matis	other	wɨtsi	wɨtsi	w ɨ + ts i		852
4291	Marubo	other	wɨtsa	wɨtsa	w ɨ ts a		852
4292	Katukina	other	witsan	witsan	w i ts a n		852
4293	Shipibo_Konibo	other	wɨtsa	wɨtsa	w ɨ ts a		852
4294	Kapanawa	other	wɨtsa	wɨtsa	w ɨ ts a		852
4295	Iskonawa	other	witsa	witsa	w i ts a		852
4296	Chakobo	other	wɨsta	wɨsta	w ɨ s t a		852
4297	Kakataibo	other	βɨtsi	βɨtsi	β ɨ ts i		852
4298	Mastanawa	other	ɸɨtsa	ɸɨtsa	ɸ ɨ ts a		852
4299	Chaninawa	other	ɸɨt͡sa	ɸɨt͡sa	ɸ ɨ ts a		852
4300	Sharanawa	other	ɸɨt͡sa	ɸɨt͡sa	ɸ ɨ ts a		852
4301	Amawaka	other	wɨt͡sa	wɨt͡sa	w ɨ ts a		852
4302	Nawa	other	wɨtsa	wɨtsa	w ɨ ts a		852
4303	Marinawa	other	ɸɨtsa	ɸɨtsa	ɸ ɨ ts a		852
4304	Yaminawa	other	wɨtsa	wɨtsa	w ɨ ts a		852
4305	Kashinawa_P	other	βɨtsa	βɨtsa	β ɨ ts a		852
4306	Araona	other	aso	aso	a s o		854
4307	Araona	other	beta	beta	b e t a		852
4308	Araona	other	pea	pea	p e a		822
336	Matses	person (human)	matses	matses	m a ts e s		858
337	Matis	person (human)	matses	matses	m a ts e s		858
338	Marubo	person (human)	jura	jura	j u r a		855
339	Shipibo_Konibo	person (human)	huni	huni	h u n i		856
340	Kapanawa	person (human)	huni	huni	h u n i		856
341	Shanenawa	person (human)	jura	jura	j u r a		855
342	Yawanawa	person (human)	jura	jura	j u r a		855
343	Nukini	person (human)	nukuni	nukuni	n u k u + u n i		856
344	Poyanawa	person (human)	undi	undi	u ⁿd i		856
345	Iskonawa	person (human)	uni	uni	u n i		856
346	Chakobo	person (human)	nu?iria	nuʔiria	n u ʔ i r i a		807
347	Pakawara	person (human)	huni	huni	h u n i		856
348	Kakataibo	person (human)	uni	uni	u n i		856
349	Kaxarari	person (human)	huni	huni	h u n i		856
350	Mastanawa	person (human)	juɾa	juɾa	j u ɾ a		855
351	Chaninawa	person (human)	ju:ɾa	ju:ɾa	j uː ɾ a		855
352	Sharanawa	person (human)	juɾa	juɾa	j u ɾ a		855
353	Amawaka	person (human)	juɾa	juɾa	j u ɾ a		855
354	Nawa	person (human)	ju:ɾa	ju:ɾa	j uː ɾ a		855
355	Marinawa	person (human)	juɾa	juɾa	j u ɾ a		855
356	Yaminawa	person (human)	juɾa	juɾa	j u ɾ a		855
357	Kashinawa_P	person (human)	huni	huni	h u n i		856
358	Kashinawa_B	person (human)	yuda	yuda	j u d a		855
359	Araona	person (human)	ekuicha	ekuicha	e k u i tʃ a		857
360	Araona	person (human)	sedapo	sedapo	s e d a p o		859
2566	Matses	play	mamɨn	mamɨn	m a m ɨ n		867
2567	Matis	play	tʃuke	tʃuke	tʃ u k e		868
2568	Marubo	play	wɨsia	wɨsia	w ɨ s i a		869
2569	Marubo	play	usan	usan	u s a n		864
2570	Shipibo_Konibo	play	tsini	tsini	ts i n i		866
2571	Kapanawa	play	ʃiru	ʃiru	ʃ i r u		862
2572	Shanenawa	play	ʂuʂu	ʂuʂu	ʂ u ʂ u		862
2573	Yawanawa	play	ʃuʃu	ʃuʃu	ʂ u ʂ u		862
2574	Iskonawa	play	mɨka	mɨka	m ɨ k a		863
2575	Chakobo	play	kaʂa	kaʂa	k a ʂ a		861
2576	Kakataibo	play	kwai	kwai	kʷ a i		809
2577	Mastanawa	play	kaʂɨ	kaʂɨ	k a ʂ ɨ		861
2578	Chaninawa	play	kaʂɨ	kaʂɨ	k a ʂ ɨ		861
2579	Sharanawa	play	kaʂɨ	kaʂɨ	k a ʂ ɨ		861
2580	Amawaka	play	mɨka	mɨka	m ɨ k a		863
2581	Nawa	play	kaʂɨ	kaʂɨ	k a ʂ ɨ		861
2582	Marinawa	play	kaʂɨ	kaʂɨ	k a ʂ ɨ		861
2583	Yaminawa	play	kaʂɨ	kaʂɨ	k a ʂ ɨ		861
2584	Yaminawa	play	ʂuʂu	ʂuʂu	ʂ u ʂ u		862
2585	Kashinawa_P	play	βɨjusa	βɨjusa	β ɨ j u s a		870
2586	Araona	play	topa	topa	t o p a		873
2476	Matses	pull	ʂɨkka	ʂɨkka	ʂ ɨ k + k a		851
2477	Matis	pull	tɨkka	tɨkka	t ɨ k + k a		851
2478	Marubo	pull	tɨri	tɨri	t ɨ r i		851
2479	Shipibo_Konibo	pull	nini	nini	n i n i		874
2480	Kapanawa	pull	nini	nini	n i n i		874
2481	Shanenawa	pull	nini	nini	n i n i		874
2482	Yawanawa	pull	nini	nini	n i n i		874
2483	Iskonawa	pull	ha ha ak	ha ha ak	h a + h a + a k		879
2484	Chakobo	pull	nini	nini	n i n i		874
2485	Kakataibo	pull	nini	nini	n i n i		874
2486	Kaxarari	pull	waraha	waraha	w a r a h a		878
2487	Mastanawa	pull	didi	didi	d i d i		874
2488	Chaninawa	pull	didi	didi	d i d i		874
2489	Sharanawa	pull	didi	didi	d i d i		874
2490	Amawaka	pull	nindi	nindi	n i ⁿd i		874
2491	Nawa	pull	didi	didi	d i d i		874
2492	Marinawa	pull	dindi	dindi	d i ⁿd i		874
2493	Yaminawa	pull	didi	didi	d i d i		874
2494	Kashinawa_P	pull	nini	nini	n i n i		874
2495	Kashinawa_B	pull	nini	nini	n i n i		874
2496	Araona	pull	lekuekuea	lekuekuea	l e k u e k u e a		882
2497	Matses	push	tsikunne	tsikunne	ts i k u n n e		832
2498	Matis	push	kune	kune	k u n e		832
2499	Marubo	push	masta	masta	m a s t a		889
2500	Katukina	push	xutu	xutu	x/ʂ u t u		884
2501	Shipibo_Konibo	push	ʂutun	ʂutun	ʂ u t u n		884
2502	Kapanawa	push	wɨra	wɨra	w ɨ r a n		886
2503	Kapanawa	push	ʂutun	ʂutun	ʂ u t u n		884
2504	Shanenawa	push	pakɨ	pakɨ	p a k ɨ		883
2505	Yawanawa	push	tsiki	tsiki	ts i k i		883
2506	Iskonawa	push	tɨtu	tɨtu	t ɨ t u		887
2507	Chakobo	push	tʃima	tʃima	tʃ i m a		891
2508	Kakataibo	push	tʃatʃi	tʃatʃi	tʃ a tʃ i		887
2509	Kaxarari	push	kuita	kuita	k u i t a		890
2510	Mastanawa	push	pɨʂu	pɨʂu	p ɨ ʂ u		883
2511	Chaninawa	push	pɨt͡sikidi	pɨt͡si	p ɨ ts i		883
2512	Sharanawa	push	pɨt͡sikidi	pɨt͡si	p ɨ ts i		883
2513	Amawaka	push	mɨɾa	wɨɾan	w ɨ ɾ a n		886
2514	Nawa	push	pɨtsi	pɨtsi	p ɨ ts i		883
2515	Marinawa	push	pɨtsikɨdi	pɨtsi	p ɨ ts i		883
2516	Yaminawa	push	pɨʂɨ	pɨʂɨ	p ɨ ʂ ɨ		883
2517	Kashinawa_P	push	ʂutu	ʂutu	ʂ u t u		884
2518	Araona	push	je-anakiki	jeanakiki	j e a n a k i k i		892
2519	Araona	push	nono	nono	n o n o		885
1631	Matses	rain	we	ue	u e		894
1632	Matis	rain	we	ue	u e		894
1633	Marubo	rain	ui	ui	u i		894
1634	Katukina	rain	ui	ui	u i		894
1635	Shipibo_Konibo	rain	ui	ui	u i		894
1636	Kapanawa	rain	ui	ui	u i		894
1637	Shanenawa	rain	ui	ui	u i		894
1638	Nukini	rain	awi	awi	a w i		894
1639	Nukini	rain	nui	nui	n u i		894
1640	Poyanawa	rain	ui	ui	u i		894
1641	Iskonawa	rain	ui	ui	u i		894
1642	Chakobo	rain	ui	ui	u i		894
1643	Pakawara	rain	ui	ui	u i		894
1644	Kakataibo	rain	uɲe	uɲe	u ɲ e		894
1645	Kaxarari	rain	uwahi	uwahi	u w a		894
1646	Mastanawa	rain	uwi	uwi	u w i		894
1647	Chaninawa	rain	uwi	uwi	u w i		894
1648	Sharanawa	rain	uwi	uwi	u w i		894
1649	Amawaka	rain	uwi	uwi	u w i		894
1650	Nawa	rain	uwi	uwi	u w i		894
1651	Marinawa	rain	ubi	ubi	u b i		894
1652	Yaminawa	rain	uwi	uwi	u w i		894
1653	Kashinawa_P	rain	uj	uj	u i		894
1654	Kashinawa_B	rain	ui	ui	u i		894
1655	Araona	rain	nai	nai	n a i		896
3653	Matses	red	piu	piu	p i u		904
3654	Matis	red	pɨd	pɨd	p ɨ d		904
3655	Marubo	red	unʃin	unʃin	u n ʃ i n		875
3656	Katukina	red	unji	unji	u n j i		875
3657	Shipibo_Konibo	red	huʃin	huʃin	h u ʃ i n		875
3658	Kapanawa	red	huʃin	huʃin	h u ʃ i n		875
3659	Shanenawa	red	uʂuni	uʂuni	u ʂ u n i		875
3660	Yawanawa	red	uʃin	uʃin	u ʃ i n		875
3661	Poyanawa	red	taʃi	taʃi	t a ʃ i		903
3662	Iskonawa	red	uʃin	uʃin	u ʃ i n		875
3663	Chakobo	red	piʃi	piʃi	p i ʃ i		895
3664	Pakawara	red	ʃini	ʃini	ʃ i n i		875
3665	Kakataibo	red	tʃɨʂka	tʃɨʂka	tʃ ɨ ʂ k a		897
3666	Kaxarari	red	puʂɨ	puʂɨ	p u ʂ ɨ		902
3667	Mastanawa	red	unʃi	unʃi	u n ʃ i		875
3668	Chaninawa	red	uʃin	uʃin	u ʃ i n		875
3669	Sharanawa	red	uʃin	uʃin	u ʃ i n		875
3670	Amawaka	red	winʃi	winʃi	w i n ʃ i		853
3671	Nawa	red	uʃi	uʃi	u ʃ i		875
3672	Marinawa	red	uʃi	uʃi	u ʃ i		875
3673	Yaminawa	red	ũʃi	ũʃi	ũ ʃ i		875
3674	Kashinawa_P	red	taʂi	taʂi	t a ʂ i		903
3675	Kashinawa_B	red	taʂipa	taʂipa	t a ʂ i p a		903
3676	Araona	red	asele	asele	a s e l e		900
1347	Matses	river	akte	akte	a k + t e		913
1348	Matis	river	tʂɨʂɨ	tʂɨʂɨ	ʈʂ ɨ ʂ ɨ		912
1349	Marubo	river	waka	waka	w a k a		906
1350	Katukina	river	nua	nua	n u a		908
1351	Kanamari	river	nua	nua	n u a		908
1352	Shipibo_Konibo	river	paru	paru	p a r u		907
1353	Kapanawa	river	paru	paru	p a r u		907
1354	Kapanawa	river	waka	waka	w a k a		906
1355	Shanenawa	river	waka	waka	w a k a		906
1356	Yawanawa	river	βaka	βaka	β a k a		906
1357	Poyanawa	river	waka	waka	w a k a		906
1358	Iskonawa	river	waka	waka	w a k a		906
1359	Chakobo	river	ani	ani	a n i		905
1360	Pakawara	river	?ani	ʔani	ʔ a n i		898
1361	Pakawara	river	paro	paro	p a r o		907
1362	Kakataibo	river	βaka	βaka	β a k a		906
1363	Kaxarari	river	waka	waka	w a k a		906
1364	Mastanawa	river	ɨdɨ	ɨdɨ	ɨ d ɨ		905
1365	Chaninawa	river	ɨdɨ	ɨdɨ	ɨ d ɨ		905
1366	Sharanawa	river	ɨdɨ	ɨdɨ	ɨ d ɨ		905
1367	Amawaka	river	hɨndɨ	hɨndɨ	h ɨ ⁿd ɨ		905
1368	Nawa	river	ɨdɨ	ɨdɨ	ɨ d ɨ		905
1369	Nawa	river	umpaʂ	umpaʂ	u m p a ʂ		914
1370	Marinawa	river	ɨndɨ	ɨndɨ	ɨ ⁿd ɨ		905
1371	Yaminawa	river	waʔa	waʔa	w a ʔ a		906
1372	Kashinawa_P	river	hɨnɨ	hɨnɨ	h ɨ n ɨ		905
1373	Kashinawa_B	river	hɨnɨ	hɨnɨ	h ɨ n ɨ		905
1374	Araona	river	mano	mano	m a n o		910
1399	Matses	road (path)	podqued	podked	p o d k e d		917
1400	Matis	road (path)	βai	βai	β a i		915
1401	Marubo	road (path)	βai	βai	β a i		915
1402	Katukina	road (path)	βai	βai	β a i		915
1403	Kanamari	road (path)	βa?i	βaʔi	β a ʔ i		915
1404	Shipibo_Konibo	road (path)	βai	βai	β a i		915
1405	Kapanawa	road (path)	βai	βai	β a i		915
1406	Shanenawa	road (path)	niti	niti	n i + t i		1580
1407	Yawanawa	road (path)	niti	niti	n i + t i		1580
1408	Nukini	road (path)	βai	βai	β a i		915
1409	Poyanawa	road (path)	βai	βai	β a i		915
1410	Iskonawa	road (path)	βai	βai	β a i		915
1411	Chakobo	road (path)	βa?i	βaʔi	β a ʔ i		915
1412	Pakawara	road (path)	wahi	wahi	w a h i		915
1413	Kakataibo	road (path)	βai	βai	β a i		915
1414	Kaxarari	road (path)	wai	wai	w a i		915
1415	Mastanawa	road (path)	ɸaj	ɸaj	ɸ a i		915
1416	Chaninawa	road (path)	ɸaj	ɸaj	ɸ a j		915
1417	Sharanawa	road (path)	ɸai	ɸai	ɸ a i		915
1418	Amawaka	road (path)	waʔi	waʔi	w a ʔ i		915
1419	Nawa	road (path)	ɸaj	ɸaj	ɸ a i		915
1420	Marinawa	road (path)	ɸaj	ɸaj	ɸ a j		915
1421	Yaminawa	road (path)	wai	wai	w a i		915
1422	Kashinawa_P	road (path)	βaj	βaj	β a j		915
1423	Kashinawa_B	road (path)	βai	βai	β a i		915
1424	Araona	road (path)	dizi	dizi	d i z i		916
1102	Matses	root	tapun	tapun	t a + p u n		918
1103	Matis	root	ʂuku	ʂuku	ʂ u k u		923
1104	Marubo	root	tapun	tapun	t a + p u n		918
1105	Shipibo_Konibo	root	tapun	tapun	t a + p u n		918
1106	Kapanawa	root	tapun	tapun	t a + p u n		918
1107	Shanenawa	root	tapu	tapu	t a + p u		918
1108	Yawanawa	root	tapun	tapun	t a + p u n		918
1109	Poyanawa	root	tatʃa	tatʃa	t a + tʃ a		919
1110	Iskonawa	root	tapũ	tapũ	t a + p ũ		918
1111	Chakobo	root	tapunu	tapunu	t a + p u n u		918
1112	Pakawara	root	tapunu	tapunu	t a + p u n u		918
1113	Kakataibo	root	tapun	tapun	t a + p u n		918
1114	Kaxarari	root	tʃipunu	tʃipunu	tʃ i + p u n u		1581
1115	Mastanawa	root	taʧa	taʧa	t a + tʃ a		919
1116	Chaninawa	root	tapu	tapu	t a + p u		918
1117	Sharanawa	root	tat͡ʃa	tat͡ʃa	t a + tʃ a		919
1118	Amawaka	root	hi:	hi:	h iː		925
1119	Nawa	root	tapu	tapu	t a + p u		918
1120	Marinawa	root	tapu	tapu	t a + p u		918
1121	Yaminawa	root	tapu	tapu	t a + p u		918
1122	Kashinawa_P	root	taʧa	taʧa	t a + tʃ a		919
1123	Kashinawa_B	root	tatʃa	tatʃa	t a + tʃ a		919
1124	Araona	root	akuitsaja	akuitsaja	a k u i ts a j a		920
1125	Araona	root	tsaja	tsaja	ts a j a		920
1873	Matses	rope (cord)	βuku	βuku	β u k u		930
1874	Matis	rope (cord)	nai	nai	n a i		931
1875	Marubo	rope (cord)	iʃi	iʃi	i ʃ i		926
1876	Katukina	rope (cord)	tukarasiβi	tukarasiβi	t u k a r a s i β i		932
1877	Shipibo_Konibo	rope (cord)	niʃi	niʃi	n i ʃ i		926
1878	Shipibo_Konibo	rope (cord)	risβi	risβi	r i s β i		927
1879	Kapanawa	rope (cord)	risβi	rispi	r i s p i		927
1880	Yawanawa	rope (cord)	rɨsβi	rɨsβi	r ɨ s β i		927
1881	Poyanawa	rope (cord)	risβɨ	risβi	r i s β i		927
1882	Iskonawa	rope (cord)	nishi	nishi	n i ʃ i		926
1883	Chakobo	rope (cord)	niʃi	niʃi	n i ʃ i		926
1884	Chakobo	rope (cord)	rispitʃi	rispitʃi	r i s p i tʃ i		927
1885	Pakawara	rope (cord)	taʃka	taʃka	t a ʃ k a		929
1886	Kakataibo	rope (cord)	nisi	nisi	n i s i		926
1887	Mastanawa	rope (cord)	diʃi	diʃi	d i ʃ i		926
1888	Chaninawa	rope (cord)	diʃi	diʃi	d i ʃ i		926
1889	Sharanawa	rope (cord)	diʃi	diʃi	d i ʃ i		926
1890	Amawaka	rope (cord)	niʃi	niʃi	n i ʃ i		926
1891	Nawa	rope (cord)	diʃi	diʃi	d i ʃ i		926
1892	Nawa	rope (cord)	ɾɨspi	ɾɨspi	ɾ ɨ s p i		927
1893	Marinawa	rope (cord)	diʃi	diʃi	d i ʃ i		926
1894	Yaminawa	rope (cord)	diʃi	diʃi	d i ʃ i		926
1895	Kashinawa_P	rope (cord)	dispi	dispi	d i s p i		927
1896	Kashinawa_P	rope (cord)	niʃi	niʃi	n i ʃ i		926
1897	Araona	rope (cord)	bado	bado	b a d o		928
2143	Matses	rotten [log]	pisen	pisen	p i s e n		933
