ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	AUTOCOGID	AUTOSCAID
1034	Mastanawa	meat (flesh)	dabi	dabi	d a b i		470	345
1035	Chaninawa	meat (flesh)	dabi	dabi	d a b i		470	345
1036	Sharanawa	meat (flesh)	dabi	dabi	d a b i		470	345
1037	Amawaka	meat (flesh)	nambi	nambi	n a ⁿb i		470	345
1038	Nawa	meat (flesh)	dabi	dabi	d a b i		470	345
1039	Marinawa	meat (flesh)	danbi	danbi	d a ⁿb i		470	345
1040	Yaminawa	meat (flesh)	dabi	dabi	d a b i		470	345
1041	Kashinawa_P	meat (flesh)	nami	nami	n a m i		470	345
1042	Kashinawa_B	meat (flesh)	nami	nami	n a m i		470	345
249	Matses	mother	tita	tita	t i t a		472	347
250	Matis	mother	tita ani	tita ani	t i t a a n i		472	347
251	Marubo	mother	ɨwa	ɨwa	ɨ w a		471	346
252	Katukina	mother	ewa	ɨwa	ɨ w a		471	346
253	Shipibo_Konibo	mother	tita	tita	t i t a		472	347
254	Kapanawa	mother	mama	mama	m a m a		473	348
255	Arara	mother	ɨwa	ɨwa	ɨ w a		471	346
256	Shanenawa	mother	ɨwa	ɨwa	ɨ w a		471	346
257	Yawanawa	mother	ɨwa	ɨwa	ɨ w a		471	346
258	Poyanawa	mother	ɨwa	ɨwa	ɨ w a		471	346
259	Iskonawa	mother	ɨwa	ɨwa	ɨ w a		471	346
260	Chakobo	mother	ha?iwa	haʔiwa	i w a		471	346
261	Pakawara	mother	kai	kai	k a i		474	349
262	Kakataibo	mother	tita	tita	t i t a		472	347
263	Kaxarari	mother	ɨwa	ɨwa	ɨ w a		471	346
264	Mastanawa	mother	ɨwa	ɨwa	ɨ w a		471	346
265	Chaninawa	mother	ɨwa	ɨwa	ɨ w a		471	346
266	Sharanawa	mother	ɨwa	ɨwa	ɨ w a		471	346
267	Amawaka	mother	ɨwa	ɨwa	ɨ w a		471	346
268	Nawa	mother	ɨwa	ɨwa	ɨ w a		471	346
269	Marinawa	mother	ɨwa	ɨwa	ɨ w a		471	346
270	Yaminawa	mother	ɨwa	ɨwa	ɨ w a		471	346
271	Kashinawa_P	mother	ɨwa	ɨwa	ɨ w a		471	346
272	Kashinawa_B	mother	ɨwa	ɨwa	ɨ w a		471	346
1303	Matses	mountain	makuɨʂ	makuɨʂ	m a k u ɨ ʂ		477	350
1304	Matis	mountain	udukute	udukute	u d u k u t e		478	351
1305	Marubo	mountain	matʃi	matʃi	m a tʃ i		475	350
1306	Kanamari	mountain	matsi	matsi	m a ts i		475	350
1307	Shipibo_Konibo	mountain	manan	manan	m a n a n		476	350
1308	Shipibo_Konibo	mountain	matu	matu	m a t u		475	350
1309	Kapanawa	mountain	manan	manan	m a n a n		476	350
1310	Kapanawa	mountain	matʃi	matʃi	m a tʃ i		475	350
1311	Arara	mountain	batʃi	batʃi	b a tʃ i		475	350
1312	Shanenawa	mountain	matʃi	matʃi	m a tʃ i		475	350
1313	Yawanawa	mountain	matʃi	matʃi	m a tʃ i		475	350
1314	Iskonawa	mountain	maʧi	maʧi	m a tʃ i		475	350
1315	Chakobo	mountain	maitɨmatʃi	maitɨmatʃi	m a tʃ i		475	350
1316	Pakawara	mountain	matʃiβa	matʃiβa	m a tʃ i β a		475	350
1317	Kakataibo	mountain	βaʃi	βaʃi	β a ʃ i		475	350
1318	Kaxarari	mountain	mɨku	mɨku	m ɨ k u		477	350
1319	Kaxarari	mountain	mãkuʃai	mãkuʃai	m ã k u ʃ a i		477	350
1320	Kaxarari	mountain	karɨ	karɨ	k a r ɨ		479	352
1321	Mastanawa	mountain	ɸat͡ʃi	ɸat͡ʃi	ɸ a tʃ i		475	350
1322	Chaninawa	mountain	bat͡ʃi	bat͡ʃi	b a tʃ i		475	350
1323	Sharanawa	mountain	diɸu	diɸu	d i ɸ u		475	350
1324	Amawaka	mountain	mat͡ʃi	mat͡ʃi	m a tʃ i		475	350
1325	Nawa	mountain	baʧi	baʧi	b a tʃ i		475	350
1326	Marinawa	mountain	baʧi	baʧi	b a tʃ i		475	350
1327	Yaminawa	mountain	baʧi	baʧi	b a tʃ i		475	350
1328	Kashinawa_P	mountain	mawa	mawa	m a w a		476	350
1329	Kashinawa_B	mountain	matʃi	matʃi	m a tʃ i		475	350
583	Matses	mouth	ana	ana	a n a		482	354
584	Matis	mouth	ana	ana	a n a		482	354
585	Marubo	mouth	ana	ana	a n a		482	354
586	Katukina	mouth	ana	ana	a n a		482	354
587	Kanamari	mouth	kɨʃa	kɨʃa	k ɨ ʃ a		480	353
588	Shipibo_Konibo	mouth	kɨʂa	kɨʂa	k ɨ ʂ a		480	353
589	Kapanawa	mouth	kɨʂa	kɨʂa	k ɨ ʂ a		480	353
590	Arara	mouth	aʃɨa	aʃɨa	a ʃ ɨ a		481	353
591	Shanenawa	mouth	aʂɸa	aʂɸa	a ʂ ɸ a		481	353
592	Yawanawa	mouth	aʂβa	aʂβa	a ʂ β a		481	353
593	Nukini	mouth	kɨha	kɨha	k ɨ h a		480	353
594	Poyanawa	mouth	kɨha	kɨha	k ɨ h a		480	353
595	Iskonawa	mouth	kɨha	kɨha	k ɨ h a		480	353
596	Chakobo	mouth	hana	hana	h a n a		482	354
597	Pakawara	mouth	kɨwɨtʃi	kɨwɨtʃi	k ɨ w ɨ tʃ i		483	353
598	Kakataibo	mouth	kwɨβi	kwɨβi	kʷ ɨ β i		483	353
599	Kaxarari	mouth	kɨʂaka	kɨʂaka	k ɨ ʂ a k a		480	353
600	Mastanawa	mouth	aʂwa	aʂwa	a ʂ w a		481	353
601	Chaninawa	mouth	aʂwa	aʂwa	a ʂ w a		481	353
602	Sharanawa	mouth	aʂɸa	aʂɸa	a ʂ ɸ a		481	353
603	Amawaka	mouth	kɨça	kɨça	k ɨ ç a		480	353
604	Nawa	mouth	aʂwa	aʂwa	a ʂ w a		481	353
605	Marinawa	mouth	aʂɸa	aʂɸa	a ʂ ɸ a		481	353
606	Yaminawa	mouth	aʂwã	aʂwã	a ʂ w a		481	353
607	Kashinawa_P	mouth	haʂpa	haʂpa	h a ʂ p a		481	353
608	Kashinawa_B	mouth	kɨʂa	kɨʂa	k ɨ ʂ a		480	353
349	Matses	name	kuɨmɨdaid	kuɨmɨdaid	k u ɨ m ɨ d a i d		486	357
350	Matis	name	anɨ	anɨ	a n ɨ		484	356
351	Marubo	name	anɨ	anɨ	a n ɨ		484	356
352	Shipibo_Konibo	name	hanɨ	hanɨ	h a n ɨ		484	356
353	Kapanawa	name	hanɨ	hanɨ	h a n ɨ		484	356
354	Arara	name	aɨndɨ	aɨndɨ	aɨ ⁿd ɨ		484	355
355	Shanenawa	name	anɨ	anɨ	a n ɨ		484	356
356	Yawanawa	name	anɨ	anɨ	a n ɨ		484	356
357	Poyanawa	name	andɨ	andɨ	a ⁿd ɨ		484	355
358	Iskonawa	name	anɨ	anɨ	a n ɨ		484	356
359	Chakobo	name	hanɨ	hanɨ	h a n ɨ		484	356
360	Kakataibo	name	anɨ	anɨ	a n ɨ		484	356
361	Kaxarari	name	halɨ	halɨ	h a l ɨ		484	356
362	Mastanawa	name	adɨ	adɨ	a d ɨ		484	355
363	Chaninawa	name	adɨ	adɨ	a d ɨ		484	355
364	Sharanawa	name	adɨ	adɨ	a d ɨ		484	355
365	Amawaka	name	handɨ	handɨ	h a ⁿd ɨ		484	355
366	Nawa	name	adɨ	adɨ	a d ɨ		484	355
367	Marinawa	name	andɨ	andɨ	a ⁿd ɨ		484	355
368	Yaminawa	name	adɨ	adɨ	a d ɨ		484	355
369	Kashinawa_P	name	kɨna	kɨna	k ɨ n a		485	356
370	Kashinawa_B	name	kɨna	kɨna	k ɨ n a		485	356
3973	Matses	narrow	ania	ania	a n i a		494	364
3974	Matis	narrow	papitsɨk	papitsɨk	p a p i ts ɨ k		493	363
3975	Marubo	narrow	iʃtuʃta	iʃtuʃta	i ʃ t u ʃ t a		487	358
3976	Shipibo_Konibo	narrow	hɨstɨ	hɨstɨ	h ɨ s t ɨ		495	358
3977	Kapanawa	narrow	kuntsu	kuntsu	k u n ts u		491	361
3978	Kapanawa	narrow	naʂβama	naʂβama	n a ʂ β a m a		497	362
3979	Arara	narrow	pasĩ	pasĩ	p a s ĩ		488	359
3980	Shanenawa	narrow	siku	siku	s i k u		491	361
3981	Yawanawa	narrow	iɨrɨika	iɨrɨika	i ɨ r ɨ i k a		496	358
3982	Poyanawa	narrow	iruiʃta	iruiʃta	i r u i ʃ t a		487	358
3983	Chakobo	narrow	yamaria	yamaria	j a m a r i a		489	360
3984	Kakataibo	narrow	antsukus	antsukus	a n ts u k u s		490	361
3985	Kaxarari	narrow	inikɨma	inikɨma	i n i k ɨ m a		492	362
3986	Mastanawa	narrow	ʧuʧuʂta	ʧuʧuʂta	tʃ u tʃ u ʂ t a		487	358
3987	Chaninawa	narrow	at͡suʂta	at͡suʂta	a ts u ʂ t a		487	358
3988	Sharanawa	narrow	at͡suʂta	at͡suʂta	a ts u ʂ t a		487	358
3989	Amawaka	narrow	piʃta	piʃta	p i ʃ t a		487	358
3990	Nawa	narrow	aʦuʃta	aʦuʃta	a ts u ʃ t a		487	358
3991	Marinawa	narrow	atsuʂta	atsuʂta	a ts u ʂ t a		487	358
3992	Yaminawa	narrow	kɨtsu	kɨtsu	k ɨ ts u		491	361
3993	Kashinawa_P	narrow	haʂu	haʂu	h a ʂ u		488	359
3994	Kashinawa_B	narrow	mɨsi	mɨsi	m ɨ s i		488	359
3806	Matses	near	nɨβi	nɨβi	n ɨ β i		500	367
3807	Matis	near	nɨ	nɨ	n ɨ		500	367
3808	Marubo	near	urama	urama	u r a m a		498	365
3809	Katukina	near	rami	rami	r a m i		498	365
3810	Katukina	near	tuke-ma	tukema	t u k e m a		498	365
3811	Shipibo_Konibo	near	utʃu-ma	utʃuma	u tʃ u m a		498	365
3812	Kapanawa	near	utʃuma	utʃuma	u tʃ u m a		498	365
3813	Kapanawa	near	pataʂ	pataʂ	p a t a ʂ		502	369
3814	Arara	near	tʃaimba	tʃaimba	tʃ a i m b a		498	365
3815	Shanenawa	near	tʃjama	tʃaima	tʃ a i m a		498	365
3816	Yawanawa	near	tʃaima	tʃaima	tʃ a i m a		498	365
3817	Iskonawa	near	ninuhuku	ninuhuku	n i n u h u k u		499	366
3818	Chakobo	near	βasima	βasima	β a s i m a		498	365
3819	Chakobo	near	βika	βika	β i k a		501	368
3820	Kakataibo	near	urama	urama	u r a m a		498	365
3821	Kaxarari	near	utʂama	utʂama	u ʈʂ a m a		498	365
3822	Mastanawa	near	ʧaj baʂta	ʧajbaʂta	tʃ a j b a ʂ t a		498	365
3823	Chaninawa	near	t͡ʃajba	t͡ʃajba	tʃ a j b a		498	365
3824	Sharanawa	near	t͡ʃai baʃta	t͡ʃaibaʃta	tʃ a i b a ʃ t a		498	365
3825	Amawaka	near	uɾama	uɾama	u ɾ a m a		498	365
3826	Nawa	near	ʧajba	ʧaiba	tʃ a i b a		498	365
3827	Marinawa	near	ʧaj baʂta	ʧajbaʂta	tʃ a j b a ʂ t a		498	365
3828	Yaminawa	near	ʧajba	ʧajba	tʃ a i b a		498	365
3829	Kashinawa_P	near	ʧajma	ʧajma	tʃ a j m a		498	365
3830	Kashinawa_B	near	tʃajma	tʃajma	tʃ a j m a		498	365
662	Matses	neck	tɨnite	tɨnite	t ɨ n i t e		507	370
663	Matis	neck	tɨtun	tɨtun	t ɨ t u n		503	370
664	Marubo	neck	tɨʂu	tɨʂu	t ɨ ʂ u		503	370
665	Katukina	neck	tispun	tispun	t i s p u n		503	370
666	Kanamari	neck	taʃu	taʃu	t ɨ ʃ u		503	370
667	Shipibo_Konibo	neck	tɨʂu	tɨʂu	t ɨ ʂ u		503	370
668	Kapanawa	neck	tɨʂu	tɨʂu	t ɨ ʂ u		503	370
669	Arara	neck	tɨʃu	tɨʃu	t ɨ ʃ u		503	370
670	Shanenawa	neck	tɨʂɨ	tɨʂɨ	t ɨ ʂ u		503	370
671	Yawanawa	neck	tɨʃu	tɨʃu	t ɨ ʃ u		503	370
672	Nukini	neck	nipika	nipika	n i p i k a		508	370
673	Nukini	neck	tukɨ	tɨkɨ	t ɨ k ɨ		509	370
674	Poyanawa	neck	tɨhu	tɨhu	t ɨ h u		503	370
675	Iskonawa	neck	tɨhu	tɨhu	t ɨ h u		503	370
676	Chakobo	neck	tɨpuku	tɨpuku	t ɨ p u k u		504	370
677	Pakawara	neck	tikana	tikana	t i k a n a		509	370
678	Kakataibo	neck	tɨʂa	tɨʂa	t ɨ ʂ a		503	370
679	Kaxarari	neck	tɨiwi	tɨiwi	t ɨ i w i		506	370
680	Mastanawa	neck	tɨʂu	tɨʂu	t ɨ ʂ u		503	370
681	Chaninawa	neck	tɨsto	tɨsto	t ɨ s t o		505	370
682	Sharanawa	neck	tɨʂu	tɨʂu	t ɨ ʂ u		503	370
683	Amawaka	neck	çau	çau	t ɨ ç u		503	370
684	Nawa	neck	tɨʂu	tɨʂu	t ɨ ʂ u		503	370
685	Nawa	neck	tɨmaʂka	tɨmaʂka	t ɨ m a ʂ k a		510	370
686	Marinawa	neck	tɨʂu	tɨʂu	t ɨ ʂ u		503	370
687	Yaminawa	neck	tɨʂu	tɨʂu	t ɨ ʂ u		503	370
688	Kashinawa_P	neck	tɨʂu	tɨʂu	t ɨ ʂ u		503	370
689	Kashinawa_B	neck	tɨʂu	tɨʂu	t ɨ ʂ u		503	370
3632	Matses	new	tʃuka	tʃuka	tʃ u k a		515	374
3633	Matis	new	paʂa	paʂa	p a ʂ a		512	371
3634	Marubo	new	βɨna	βɨna	β ɨ n a		511	371
3635	Katukina	new	βena	βena	β e n a		511	371
3636	Shipibo_Konibo	new	βɨna	βɨna	β ɨ n a		511	371
3637	Kapanawa	new	βɨna	βɨna	β ɨ n a		511	371
3638	Arara	new	βɨnda	βɨnda	β ɨ ⁿd a		511	371
3639	Arara	new	pɨʃkɨ	pɨʃkɨ	p ɨ ʃ k ɨ		516	371
3640	Shanenawa	new	fɨna	fɨna	f ɨ n a		511	371
3641	Yawanawa	new	βɨna	βɨna	β ɨ n a		511	371
3642	Poyanawa	new	βɨhu	βɨhu	β ɨ h u		511	371
3643	Iskonawa	new	βɨna	βɨna	β ɨ n a		511	371
3644	Chakobo	new	paʂa	paʂa	p a ʂ a		512	371
3645	Kakataibo	new	io	io	i o		513	372
3646	Kaxarari	new	xawɨlakɨ	xawɨlakɨ	x/ʂ a w ɨ l a k ɨ		514	373
3647	Mastanawa	new	ɸɨda	ɸɨda	ɸ ɨ d a		511	371
3648	Chaninawa	new	ɸɨda	ɸɨda	ɸ ɨ d a		511	371
3649	Sharanawa	new	ɸɨda	ɸɨda	ɸ ɨ d a		511	371
3650	Amawaka	new	wɨnda	wɨnda	w ɨ ⁿd a		511	371
3651	Nawa	new	ɸɨda	ɸɨda	ɸ ɨ d a		511	371
3652	Marinawa	new	ɸɨnda	ɸɨnda	ɸ ɨ ⁿd a		511	371
3653	Yaminawa	new	ɸɨda	ɸɨda	ɸ ɨ d a		511	371
3654	Kashinawa_P	new	βɨna	βɨna	β ɨ n a		511	371
3655	Kashinawa_B	new	βɨna	βɨna	β ɨ n a		511	371
1809	Matses	night	intʂɨʂ	intʂɨʂ	i n ʈʂ ɨ ʂ		520	376
1810	Matis	night	imɨd	imɨd	i m ɨ d		517	375
1811	Marubo	night	jamɨ	jamɨ	j a m ɨ		517	375
1812	Katukina	night	yame	yame	j a m e		517	375
1813	Kanamari	night	yamɨ	yamɨ	j a m ɨ		517	375
1814	Shipibo_Konibo	night	yamɨ	yamɨ	j a m ɨ		517	375
1815	Kapanawa	night	yamɨ	yamɨ	j a m ɨ		517	375
1816	Arara	night	yambu	yambu	j a m b u		517	375
1817	Shanenawa	night	jamɨ	jamɨ	j a m ɨ		517	375
1818	Yawanawa	night	iamɨ	iamɨ	i a m ɨ		517	375
1819	Nukini	night	βaʃki	βaʃki	β a ʃ k i		518	376
1820	Poyanawa	night	jambɨ	jambɨ	j a m b ɨ		517	375
1821	Iskonawa	night	βakiʃ	βakiʃ	β a k i ʃ		518	376
1822	Iskonawa	night	jamɨ	jamɨ	j a m ɨ		517	375
1823	Chakobo	night	βakitʃa	βakitʃa	β a k i tʃ a		518	376
1824	Kakataibo	night	imɨ	imɨ	i m ɨ		517	375
1825	Kaxarari	night	yamɨta	yamɨta	j a m ɨ t a		517	375
1826	Mastanawa	night	ɸaiʃ	ɸaiʃ	ɸ a i ʃ		518	376
1827	Chaninawa	night	jabɨ	jabɨ	j a b ɨ		517	375
1828	Sharanawa	night	jabɨ	jabɨ	j a b ɨ		517	375
1829	Amawaka	night	jambɨ	jambɨ	j a m b ɨ		517	375
1830	Nawa	night	jabɨ	jabɨ	j a b ɨ		517	375
1831	Marinawa	night	jambɨ	jambɨ	j a m b ɨ		517	375
1832	Yaminawa	night	waʔiʃ	waʔiʃ	w a ʔ i ʃ		518	376
1833	Kashinawa_P	night	mɨʂu	mɨʂu	m ɨ ʂ u		519	377
1834	Kashinawa_P	night	jamɨ	jamɨ	j a m ɨ		517	375
1835	Kashinawa_B	night	mɨʂumɨdã	mɨʂumɨdã	m ɨ ʂ u		519	377
556	Matses	nose	dɨβiate	dɨβiate	d ɨ β i a t e		522	379
557	Matis	nose	dɨʂan	dɨʂan	d ɨ ʂ a n		521	378
558	Marubo	nose	rɨkin	rɨkin	r ɨ k i n		521	378
559	Katukina	nose	renkin	renkin	r ɨ k i n		521	378
560	Kanamari	nose	rɨkĩ	rɨkĩ	r ɨ k ĩ		521	378
561	Shipibo_Konibo	nose	rɨkin	rɨkin	r ɨ k i n		521	378
562	Kapanawa	nose	rɨkin	rɨkin	r ɨ k i n		521	378
563	Arara	nose	rĩkĩ	rĩkĩ	r ĩ k ĩ		521	378
564	Shanenawa	nose	rɨkin	rɨkin	r ɨ k i n		521	378
565	Yawanawa	nose	rɨkin	rɨkin	r ɨ k i n		521	378
566	Nukini	nose	rɨ̃kɨ̃	rɨ̃kɨ̃	r ɨ̃ k ɨ̃		521	378
567	Poyanawa	nose	rɨnkĩ	rɨnkĩ	r ɨ k ĩ		521	378
568	Iskonawa	nose	ɾɨnkĩ	ɾɨnkĩ	ɾ ɨ k ĩ		521	378
569	Chakobo	nose	rɨʂaki	rɨʂaki	r ɨ ʂ a k i		521	378
570	Pakawara	nose	rɨkina	rɨkina	r ɨ k i n a		521	378
571	Kakataibo	nose	rɨkin	rɨkin	r ɨ k i n		521	378
572	Kaxarari	nose	tʃɨkani	tʃɨkani	r ɨ k a n i		521	378
573	Mastanawa	nose	ɾɨʧuʔu	ɾɨʧuʔu	ɾ ɨ tʃ u ʔ u		521	378
574	Chaninawa	nose	ɾɨki	ɾɨki	ɾ ɨ k i		521	378
575	Sharanawa	nose	ɾɨt͡ʃuku	ɾɨt͡ʃuku	ɾ ɨ tʃ u k u		521	378
576	Amawaka	nose	ɾɨ(n)kin	ɾɨkin	ɾ ɨ k i n		521	378
577	Nawa	nose	ɾɨʧa	ɾɨʧa	ɾ ɨ tʃ a		521	378
578	Marinawa	nose	ɾɨʧuku	ɾɨʧuku	ɾ ɨ tʃ u k u		521	378
579	Yaminawa	nose	ɾɨʧuʔu	ɾɨʧuʔu	ɾ ɨ tʃ u ʔ u		521	378
580	Kashinawa_P	nose	dɨki	dɨki	d ɨ k i		521	378
581	Kashinawa_P	nose	ɾɨki	ɾɨki	ɾ ɨ k i		521	378
582	Kashinawa_B	nose	dɨkĩ	dɨkĩ	d ɨ k ĩ		521	378
3656	Matses	old [adj.]	ʂɨni	ʂɨni	ʂ ɨ n i		523	380
3657	Matis	old [adj.]	ʂɨni	ʂɨni	ʂ ɨ n i		523	380
3658	Marubo	old [adj.]	ʂɨni	ʂɨni	ʂ ɨ n i		523	380
3659	Katukina	old [adj.]	sheni-a	shenia	ʃ e n i a		523	380
3660	Shipibo_Konibo	old [adj.]	payu	payu	p a j u		529	385
3661	Kapanawa	old [adj.]	ʂɨni	ʂɨni	ʂ ɨ n i		523	380
3662	Arara	old [adj.]	ãdihɨ	ãdihɨ	ã d i h ɨ		524	380
3663	Shanenawa	old [adj.]	ani	ani	a n i		523	380
3664	Yawanawa	old [adj.]	ʃini	ʃini	ʃ i n i		523	380
3665	Nukini	old [adj.]	nusi	nusi	n u s i		525	381
3666	Poyanawa	old [adj.]	iwa	iwa	i w a		528	384
3667	Iskonawa	old [adj.]	hɨni	hɨni	h ɨ n i		523	380
3668	Chakobo	old [adj.]	yusi	yusi	j u s i		525	381
3669	Pakawara	old [adj.]	nui	nui	n u i		525	381
3670	Kakataibo	old [adj.]	ʂɨni	ʂɨni	ʂ ɨ n i		523	380
3671	Kaxarari	old [adj.]	tʃapawɨ	tʃapawɨ	tʃ a p a w ɨ		527	383
3672	Mastanawa	old [adj.]	ʂɨdi	ʂɨdi	ʂ ɨ d i		523	380
3673	Chaninawa	old [adj.]	ʂɨdi	ʂɨdi	ʂ ɨ d i		523	380
3674	Sharanawa	old [adj.]	ʂɨdi	ʂɨdi	ʂ ɨ d i		523	380
3675	Amawaka	old [adj.]	çɨndi	çɨndi	ç ɨ ⁿd i		523	380
3676	Nawa	old [adj.]	ʂɨdi	ʂɨdi	ʂ ɨ d i		523	380
3677	Marinawa	old [adj.]	ʂɨndi	ʂɨndi	ʂ ɨ ⁿd i		523	380
3678	Yaminawa	old [adj.]	ʂɨdi	ʂɨdi	ʂ ɨ d i		523	380
3679	Kashinawa_P	old [adj.]	ʂɨni	ʂɨni	ʂ ɨ n i		523	380
3680	Kashinawa_B	old [adj.]	mɨstɨβu	mɨstɨβu	m ɨ s t ɨ β u		526	382
4043	Matses	one	aβentsɨk	aβentsɨk	a β e n ts ɨ k		531	389
4044	Matis	one	epapa	epapa	e p a p a		533	388
4045	Marubo	one	wɨstiʃta	wɨstiʃta	w ɨ s t i ʃ t a		531	387
4046	Katukina	one	westi	westi	w e s t i		531	387
4047	Katukina	one	wistxi	wistxi	w i s ʈʂ i		531	387
4048	Kanamari	one	wɨste	wɨste	w ɨ s t e		531	387
4049	Shipibo_Konibo	one	wɨstiura	wɨstiura	w ɨ s t i u r a		531	387
4050	Kapanawa	one	wɨsti	wɨsti	w ɨ s t i		531	387
4051	Arara	one	βiʃti	βiʃti	β i ʃ t i		531	387
4052	Shanenawa	one	wistisi	wistisi	w i s t i s i		531	387
4053	Yawanawa	one	wɨsti	wɨsti	w ɨ s t i		531	387
4054	Poyanawa	one	raβukamba	raβukamba	r a β u k a m b a		534	390
4055	Iskonawa	one	wistɨwan	wistɨwan	w i s t ɨ w a n		531	387
4056	Chakobo	one	wɨsti-ta	wɨstita	w ɨ s t i t a		531	387
4057	Pakawara	one	wistiʃna	wistiʃna	w i s t i ʃ n a		531	387
4058	Kakataibo	one	atʃuʃi	atʃuʃi	a tʃ u ʃ i		532	387
4059	Kaxarari	one	wɨspi	wɨspi	w ɨ s p i		531	387
4060	Mastanawa	one	ɸɨsti	ɸɨsti	ɸ ɨ s t i		531	387
4061	Chaninawa	one	ɸɨsti	ɸɨsti	ɸ ɨ s t i		531	387
4062	Sharanawa	one	ɸɨsti	ɸɨsti	ɸ ɨ s t i		531	387
4063	Amawaka	one	ti	ti	t i		530	386
4064	Nawa	one	ɸɨsti	ɸɨsti	ɸ ɨ s t i		531	387
4065	Marinawa	one	ɸɨsti	ɸɨsti	ɸ ɨ s t i		531	387
4066	Yaminawa	one	ɸisti	ɸisti	ɸ i s t i		531	387
4067	Kashinawa_P	one	βɨstiʧa	βɨstiʧa	β ɨ s t i tʃ a		531	387
4068	Kashinawa_B	one	βɨʂtitʃa	βɨʂtitʃa	β ɨ ʂ t i tʃ a		531	387
4179	Matses	other	utsi	utsi	u ts i		535	391
4180	Matis	other	wɨtsi	wɨtsi	w ɨ ts i		535	391
4181	Marubo	other	wɨtsa	wɨtsa	w ɨ ts a		535	391
4182	Katukina	other	witsan	witsan	w i ts a n		535	391
4183	Shipibo_Konibo	other	wɨtsa	wɨtsa	w ɨ ts a		535	391
4184	Kapanawa	other	wɨtsa	wɨtsa	w ɨ ts a		535	391
4185	Arara	other	βɨtsa	βɨtsa	β ɨ ts a		535	391
4186	Iskonawa	other	witsa	witsa	w i ts a		535	391
4187	Chakobo	other	wɨsta	wɨsta	w ɨ s t a		535	391
4188	Kakataibo	other	βɨtsi	βɨtsi	β ɨ ts i		535	391
4189	Mastanawa	other	ɸɨtsa	ɸɨtsa	ɸ ɨ ts a		535	391
4190	Chaninawa	other	ɸɨt͡sa	ɸɨt͡sa	ɸ ɨ ts a		535	391
4191	Sharanawa	other	ɸɨt͡sa	ɸɨt͡sa	ɸ ɨ ts a		535	391
4192	Amawaka	other	wɨt͡sa	wɨt͡sa	w ɨ ts a		535	391
4193	Nawa	other	wɨtsa	wɨtsa	w ɨ ts a		535	391
4194	Marinawa	other	ɸɨtsa	ɸɨtsa	ɸ ɨ ts a		535	391
4195	Yaminawa	other	wɨtsa	wɨtsa	w ɨ ts a		535	391
4196	Kashinawa_P	other	βɨtsa	βɨtsa	β ɨ ts a		535	391
325	Matses	person (human)	matses	matses	m a ts e s		539	395
326	Matis	person (human)	matses	matses	m a ts e s		539	395
327	Marubo	person (human)	jura	jura	j u r a		536	392
328	Shipibo_Konibo	person (human)	huni	huni	h u n i		538	394
329	Kapanawa	person (human)	huni	huni	h u n i		538	394
330	Arara	person (human)	jura	jura	j u r a		536	392
331	Shanenawa	person (human)	jura	jura	j u r a		536	392
332	Yawanawa	person (human)	jura	jura	j u r a		536	392
333	Nukini	person (human)	nukuni	nukuni	n u k u u n i		538	394
334	Poyanawa	person (human)	undi	undi	u ⁿd i		538	392
335	Iskonawa	person (human)	uni	uni	u n i		538	394
336	Chakobo	person (human)	nu?iria	nuʔiria	n u ʔ i r i a		537	393
337	Pakawara	person (human)	huni	huni	h u n i		538	394
338	Kakataibo	person (human)	uni	uni	u n i		538	394
339	Kaxarari	person (human)	huni	huni	h u n i		538	394
340	Mastanawa	person (human)	juɾa	juɾa	j u ɾ a		536	392
341	Chaninawa	person (human)	ju:ɾa	ju:ɾa	j uː ɾ a		536	392
342	Sharanawa	person (human)	juɾa	juɾa	j u ɾ a		536	392
343	Amawaka	person (human)	juɾa	juɾa	j u ɾ a		536	392
344	Nawa	person (human)	ju:ɾa	ju:ɾa	j uː ɾ a		536	392
345	Marinawa	person (human)	juɾa	juɾa	j u ɾ a		536	392
346	Yaminawa	person (human)	juɾa	juɾa	j u ɾ a		536	392
347	Kashinawa_P	person (human)	huni	huni	h u n i		538	394
348	Kashinawa_B	person (human)	yuda	yuda	j u d a		536	392
2516	Matses	play	mamɨn	mamɨn	m a m ɨ n		546	399
2517	Matis	play	tʃuke	tʃuke	tʃ u k e		545	396
2518	Marubo	play	wɨsia	wɨsia	w ɨ s i a		544	397
2519	Marubo	play	usan	usan	u s a n		548	397
2520	Shipibo_Konibo	play	tsini	tsini	ts i n i		547	397
2521	Kapanawa	play	ʃiru	ʃiru	ʃ i r u		541	397
2522	Arara	play	ʃuʃui	ʃuʃui	ʃ u ʃ u i		541	397
2523	Shanenawa	play	ʂuʂu	ʂuʂu	ʂ u ʂ u		541	397
2524	Yawanawa	play	ʃuʃu	ʃuʃu	ʂ u ʂ u		541	397
2525	Iskonawa	play	mɨka	mɨka	m ɨ k a		540	396
2526	Chakobo	play	kaʂa	kaʂa	k a ʂ a		542	397
2527	Kakataibo	play	kwai	kwai	kʷ a i		542	397
2528	Mastanawa	play	kaʂɨ	kaʂɨ	k a ʂ ɨ		542	397
2529	Chaninawa	play	kaʂɨ	kaʂɨ	k a ʂ ɨ		542	397
2530	Sharanawa	play	kaʂɨ	kaʂɨ	k a ʂ ɨ		542	397
2531	Amawaka	play	mɨka	mɨka	m ɨ k a		540	396
